"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Brahmani and Baitarni Basin","Baitarni","2022-12-13","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-14","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-15","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-16","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-17","2022","12","0.0017097318","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-18","2022","12","0.002022663","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-19","2022","12","0.0005762238","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-20","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-21","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-22","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-23","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-24","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-25","2022","12","0.0008617596","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-26","2022","12","0.000810493","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-27","2022","12","0.000533413","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-12-28","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-01","2022","12","0.0005434708","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-02","2022","12","4.6738E-6","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-03","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-04","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-05","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-06","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-07","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-10","2022","12","0.0995999332","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-09","2022","12","0.0006986447","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-11","2022","12","0.1569705137","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-12","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-13","2022","12","0.0003490649","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-14","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-15","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-16","2022","12","0.011663383","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-17","2022","12","0.0034053567","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-18","2022","12","0.0023543424","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-19","2022","12","0.0037764121","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-20","2022","12","0.0001693048","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-21","2022","12","0.0013582312","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-22","2022","12","0.0006850854","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-23","2022","12","4.5649E-6","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-24","2022","12","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-25","2022","12","0.0031785141","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-26","2022","12","0.0051154464","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-27","2022","12","0.0024941495","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-12-28","2022","12","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-01","2022","12","2.8124688165","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-02","2022","12","1.2345116837","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-03","2022","12","1.5323923655","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-04","2022","12","5.9587761085","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-05","2022","12","42.0078045262","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-06","2022","12","0.3729633174","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-07","2022","12","0.0596079791","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-10","2022","12","1.3575734704","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-09","2022","12","8.9714506191","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-11","2022","12","0.788366654","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-12","2022","12","6.9737363265","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-13","2022","12","13.7346359899","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-14","2022","12","15.9216215005","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-15","2022","12","0.9992586033","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-16","2022","12","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-17","2022","12","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-18","2022","12","0.0029076805","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-19","2022","12","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-20","2022","12","0.3964289871","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-21","2022","12","0.0288673991","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-22","2022","12","0.9781096971","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-23","2022","12","0.01027364","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-24","2022","12","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-25","2022","12","1.3653086675","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-26","2022","12","12.3700442531","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-27","2022","12","3.1064971125","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-12-28","2022","12","6.8078418066","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-12-01","2022","12","0.0288611318","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-12-02","2022","12","0.3014034495","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-12-03","2022","12","0.2059003629","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-12-04","2022","12","0.9729712439","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-12-05","2022","12","5.7132444204","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-12-06","2022","12","0.1318666371","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-12-07","2022","12","0.1336517829","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-12-10","2022","12","6.6420201495","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-12-09","2022","12","5.5647985805","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-12-11","2022","12","6.7900309575","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-12-12","2022","12","7.2969825058","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-12-13","2022","12","5.8485348808","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-12-14","2022","12","9.8933591523","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-12-15","2022","12","0.390552103","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2022-12-16","2022","12","NA","NRSC VIC MODEL"
